"Path","LineNumber","Pattern","Line"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductStatsGrid.tsx","80","bg-white","<div className=""shrink-0 rounded-2xl border border-white/10 bg-white/[0.08] p-3 shadow-inner shadow-white/5"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductStatsGrid.tsx","86","text-white","<p className=""truncate text-2xl font-bold text-white"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductTableRow.tsx","36","bg-white","<tr className=""align-top transition hover:bg-white/[0.04]"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductTableRow.tsx","54","text-white","<div className=""line-clamp-2 break-words font-semibold leading-5 text-white"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductTableRow.tsx","90","text-slate-","className=""inline-flex h-9 w-9 items-center justify-center rounded-xl border border-white/10 bg-white/[0.08] text-slate-200 transition hover:bg-white/[0.14] focus:outline-none focus:ring-2 focus:ring-sky-300/30"""
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductTableRow.tsx","123","text-slate-","<td className=""px-4 py-3 text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductThumb.tsx","16","bg-white","<div className=""flex h-12 w-12 shrink-0 items-center justify-center rounded-2xl border border-white/10 bg-white/[0.06] ${typography.caption} shadow-inner shadow-black/20"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductThumb.tsx","31","border-white","className=""h-12 w-12 shrink-0 rounded-2xl border border-white/10 object-cover shadow-lg shadow-black/30"""
"D:\projects\admin-dashboard\app\(admin)\products\page.tsx","576","text-white","className={`absolute right-3 top-3.5 transition ${typography.smallMuted} hover:text-white`}"
"D:\projects\admin-dashboard\app\(admin)\rentals\components\fields\SelectField.tsx","43","text-white","className=""mt-2 h-11 w-full min-w-0 rounded-2xl border border-white/10 bg-black/30 px-4 text-sm text-white outline-none transition focus:border-cyan-300/60 focus:bg-black/40 focus:ring-4 focus:ring-cyan-400/10"""
"D:\projects\admin-dashboard\app\(admin)\rentals\components\fields\Textarea.tsx","42","text-white","className=""mt-2 w-full min-w-0 resize-y rounded-2xl border border-white/10 bg-black/30 px-4 py-3 text-sm text-white outline-none transition placeholder:text-slate-600 focus:border-cyan-300/60 focus:bg-black/40 focus:ring-4 focus:ring-cyan-400/10"""
"D:\projects\admin-dashboard\app\(admin)\rentals\components\fields\TextInput.tsx","47","text-white","className=""mt-2 h-11 w-full min-w-0 rounded-2xl border border-white/10 bg-black/30 px-4 text-sm text-white outline-none transition placeholder:text-slate-600 focus:border-cyan-300/60 focus:bg-black/40 focus:ring-4 focus:ring-cyan-400/10"""
"D:\projects\admin-dashboard\app\(admin)\rentals\components\shared\EmptyState.tsx","18","bg-black","<div className=""flex min-h-[280px] min-w-0 flex-col items-center justify-center overflow-hidden rounded-3xl border border-dashed border-white/10 bg-black/20 px-6 py-12 text-center backdrop-blur-xl"">"
"D:\projects\admin-dashboard\app\(admin)\rentals\components\shared\EmptyState.tsx","19","bg-white","<div className=""flex h-14 w-14 shrink-0 items-center justify-center rounded-2xl border border-white/10 bg-white/[0.06] shadow-inner shadow-white/5"">"
"D:\projects\admin-dashboard\app\(admin)\rentals\components\shared\EmptyState.tsx","26","text-white","<h3 className=""mt-4 max-w-full break-words text-base font-semibold text-white"">"
"D:\projects\admin-dashboard\app\(admin)\rentals\components\shared\GlassCard.tsx","17","bg-white","""min-w-0 overflow-hidden rounded-3xl border border-white/10 bg-white/[0.055] p-5 shadow-2xl shadow-black/30 backdrop-blur-2xl"","
"D:\projects\admin-dashboard\app\(admin)\rentals\components\shared\GlassCard.tsx","18","bg-white","""supports-[backdrop-filter]:bg-white/[0.045]"","
"D:\projects\admin-dashboard\app\(admin)\rentals\components\shared\SectionHeader.tsx","25","text-white","<h2 className=""mt-1 break-words text-xl font-semibold tracking-tight text-white"">"
"D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalActions.tsx","57","text-slate-","className=""inline-flex h-9 items-center justify-center gap-2 rounded-xl border border-white/10 bg-white/[0.05] px-3 text-xs font-semibold text-slate-200 transition hover:bg-white/[0.09] focus:outline-none focus:ring-2 focus:ring-cyan-300/30 disabled:cursor-not-allowed disabled:opacity-50"""
"D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalForm.tsx","79","text-white","className=""mt-2 h-11 w-full rounded-2xl border border-white/10 bg-black/30 px-4 text-sm text-white outline-none transition focus:border-cyan-300/60 focus:bg-black/40 focus:ring-4 focus:ring-cyan-400/10"""
"D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalForm.tsx","214","text-slate-","className=""inline-flex h-11 items-center justify-center gap-2 rounded-2xl border border-white/10 bg-white/[0.04] px-5 text-sm font-semibold text-slate-200 transition hover:bg-white/[0.08]"""
"D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalForm.tsx","225","text-slate-","className=""inline-flex h-11 items-center justify-center gap-2 rounded-2xl bg-cyan-300 px-5 text-sm font-bold text-slate-950 shadow-lg shadow-cyan-950/30 transition hover:bg-cyan-200 disabled:cursor-not-allowed disabled:opacity-60"""
"D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalMobileCard.tsx","24","bg-black","<article className=""min-w-0 overflow-hidden rounded-3xl border border-white/10 bg-black/25 p-4 shadow-xl shadow-black/20 backdrop-blur-xl"">"
"D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalMobileCard.tsx","27","text-white","<h3 className=""break-words font-semibold leading-5 text-white"">"
"D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalMobileCard.tsx","76","text-slate-","<p className=""mt-4 min-w-0 break-words rounded-2xl border border-white/10 bg-white/[0.04] p-3 text-sm leading-6 text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalMobileCard.tsx","113","text-white","strong ? ""font-semibold text-white"" : ""text-slate-200"","
